family,twinno,earning,schyear,highqua,twihigh,age,LNandSE,part,full,self,married,own_exp,bweight,exp_par,parted,sm16,sm18
168,1,6.25,13,16,16,49,1,0,0,0,1,5,108,27,8,0,1
168,2,6.8293056,13,12,12,49,0,1,0,0,1,31,112,,7,0,0
169,1,10.706861,,16,17,46,1,0,1,0,1,10,76,,4,0,0
169,2,8.6538458,12,16,16,46,1,0,1,0,1,12,84,35,4,0,0
170,1,10.188461,11,11,11,50,1,0,1,0,1,12,112,12,8,1,1
170,2,7.2765074,10,11,11,50,1,0,1,0,0,7,103,,,1,1
171,1,9.1093121,13,16,15,48,0,0,1,0,1,6,115,25,7,0,0
171,2,4.625,12,16,16,48,0,1,0,0,1,6,104,28,3,1,1
172,1,28.846153,11,12,16,48,0,1,0,0,1,2,92,8,8,0,0
172,2,12.32,15,16,12,48,0,1,0,0,0,8,,,,0,1
173,1,3.8461537,,17,16,47,1,0,1,0,1,2,92,40,8,1,1
173,2,5.5555553,17,16,17,47,1,0,1,0,1,1,82,30,7,1,1
174,1,11.153846,17,17,17,47,1,0,1,0,0,24,91,,,0,0
174,2,10.848126,17,17,17,47,1,0,1,0,0,25,84,,,0,0
175,1,5.8823528,10,10,10,52,0,1,0,0,1,11,,50,4,0,0
175,2,4.1580043,10,10,10,52,0,0,1,0,1,5,,10,1,0,0
176,1,10.149572,16,17,17,48,0,0,0,0,1,23,109,27,6,0,0
176,2,14.743589,16,17,17,48,0,0,1,0,1,27,106,30,7,0,0
177,1,11.737363,16,17,17,50,0,0,1,0,0,21,96,,,0,0
177,2,8.4010992,16,17,17,50,0,0,0,0,0,21,106,,,0,0
178,1,7.03125,12,15,16,51,0,0,1,0,0,,112,,,0,0
178,2,3.3333333,21,16,15,51,0,1,0,0,0,1,104,,,0,0
179,1,9.3623486,12,12,16,48,0,0,1,0,0,31,,,,0,0
